13A,22,MA,2
23H,19,WI,1
23C,8,CT,2
13A,11,MN,2
09A,13,MO,1
13B,11,NC,2
290,10,TX,2
26C,13,VA,1
13C,14,WA,1
13C,18,ME,1
23D,7,MT,1
35A,13,MT,1
13B,8,TX,4
23C,12,VA,2
290,18,NB,1
240,1,UT,1
23F,42,WA,1
13B,12,CA,9
240,18,CA,3
120,13,ID,1
13B,10,MA,3
13C,20,MI,299
13C,1,MI,4
13A,3,MI,10
13B,23,TX,2
13C,20,WI,19
13C,11,OH,8
120,23,AL,1
13B,3,IL,6
13C,54,MN,1
220,19,MO,1
13B,22,RI,1
120,18,AZ,2
13C,52,DC,2
23H,25,IL,2
13A,22,MD,1
13B,7,SD,1
290,52,TN,4
13C,12,AZ,1
11B,50,OR,1
13A,11,TX,1
23D,20,WV,1
120,13,CA,91
13B,14,CT,1
13B,20,GA,7
13C,10,KY,1
23H,13,KY,4
13A,20,MA,38
23H,23,MA,1
290,25,MD,3
13B,25,ME,6
290,18,NJ,23
35A,18,RI,1
13C,20,NM,5
23C,24,KY,1
11D,13,KY,1
13C,15,OH,7
240,14,OH,1
35A,7,WA,1
13A,14,MA,2
26C,20,MT,4
13A,5,AZ,1
13B,53,CT,2
13A,1,FL,1
23D,20,OK,1
11A,50,UT,1
290,10,CA,6
13C,53,CA,61
290,44,CA,3
23F,18,CO,4
13A,53,CO,1
13C,20,FL,27
13B,20,KS,21
26B,8,KS,1
13C,22,MA,27
13C,10,MA,4
23C,47,MI,1
35A,20,MT,1
13C,5,NC,8
23H,20,NH,1
250,11,WI,1
13B,21,AL,2
200,4,CO,2
13A,3,ID,7
13C,21,KY,7
13C,55,KY,2
13A,8,MA,1
13C,2,MI,1
13C,25,TX,6
290,12,FL,1
23D,21,KY,1
35A,20,NB,1
23C,55,OH,2
13C,24,DE,1
13B,9,MA,4
13A,52,MA,2
13A,21,NH,1
13C,2,TN,1
13A,8,CT,1
13B,9,MD,1
13A,1,AZ,6
13C,20,KS,47
120,13,MN,17
13A,7,NC,2
13A,13,OH,24
13C,11,SC,4
23F,18,VT,1
290,7,WA,2
13A,10,IN,1
120,13,MA,8
13A,12,MD,1
13C,1,MO,1
